City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Hilo,US,80.33,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
12,Nantucket,US,75.31,clear sky,41.2835,-70.0995,Jared Coffin House
13,Pundaguitan,PH,83.77,few clouds,6.3711,126.1689,Leonardo Family Beach House 1
14,Pascagoula,US,84.25,clear sky,30.3658,-88.5561,Regency Inn
15,Salinopolis,BR,78.01,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
19,Alyangula,AU,81.59,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
26,Meadow Lake,US,75.11,scattered clouds,34.8014,-106.5436,TumbleWeed RV Park
27,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
36,Meulaboh,ID,82.02,overcast clouds,4.1363,96.1285,Kost Pria
37,Bethel,US,77.11,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
40,Lincoln,US,78.13,few clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
41,Sabang,ID,81.68,overcast clouds,5.8933,95.3214,Hotel Citra
44,Shitanjing,CN,79.77,clear sky,39.2342,106.3439,
46,Watertown,US,75.33,scattered clouds,42.3709,-71.1828,Apt downtown Waltham
51,Sibu,MY,84.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
54,Atuona,PF,77.68,light rain,-9.8,-139.0333,Villa Enata
63,Albany,US,75.15,light rain,42.6001,-73.9662,
71,Isangel,VU,80.71,haze,-19.55,169.2667,Tanna Lodge
77,Faanui,PF,77.41,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
82,Hambantota,LK,84.33,overcast clouds,6.1241,81.1185,Bungalow 63
84,Jining,CN,83.39,overcast clouds,35.405,116.5814,Yunhe Star Hotel
87,Arrecife,ES,78.87,clear sky,28.963,-13.5477,Hotel Lancelot
89,Sakakah,SA,78.37,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
90,Georgetown,MY,80.53,moderate rain,5.4112,100.3354,Cititel Penang
91,Paralimni,CY,79.09,clear sky,35.0375,33.9833,Amore Hotel Apartments
94,Khunti,IN,78.91,broken clouds,23.0833,85.2833,JD
95,Hamilton,US,77.85,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
96,Freeport,US,80.11,overcast clouds,40.6576,-73.5832,The Freeport Inn and Marina
103,Panaba,MX,80.49,overcast clouds,21.2833,-88.2667,Posada rosario
110,Hithadhoo,MV,81.91,scattered clouds,-0.6,73.0833,Scoop Guest House
111,Palaikastron,GR,77.05,clear sky,35.2,26.25,Marina Village
115,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
118,Tamboril,DO,76.69,scattered clouds,19.4854,-70.611,Camp David Ranch Restaurant
119,Bubaque,GW,78.24,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
122,Acarau,BR,77.25,clear sky,-2.8856,-40.12,castelo pizzaria
124,Alofi,NU,76.89,scattered clouds,-19.0595,-169.9187,Taloa Heights
125,Mount Pleasant,US,84.0,overcast clouds,32.7941,-79.8626,Best Western Patriots Point
126,Marsh Harbour,BS,82.62,clear sky,26.5412,-77.0636,Abaco Beach Resort
128,Atambua,ID,84.79,clear sky,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
134,Bull Savanna,JM,76.62,overcast clouds,17.8868,-77.5902,Big Red's
136,Bengkulu,ID,76.08,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
137,Nuevo Progreso,MX,83.59,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
138,Gizo,SB,83.34,broken clouds,-8.103,156.8419,Imagination Island
146,Charters Towers,AU,78.37,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
150,Kahului,US,80.62,light rain,20.8947,-156.47,Maui Seaside Hotel
155,Mana,GF,76.33,scattered clouds,5.6592,-53.7767,LE SAMANA
156,Labuan,MY,84.56,few clouds,5.2767,115.2417,Tiara Labuan Hotel
159,Yingkou,CN,82.62,light rain,40.6648,122.2283,Yingkou Juyin Junyue Hotel
160,Nhulunbuy,AU,83.01,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
176,Sola,VU,79.95,clear sky,-13.8833,167.55,Leumerus Bungalows
178,Sao Filipe,CV,77.94,overcast clouds,14.8961,-24.4956,Hotel Xaguate
181,Petropavlovsk-Kamchatskiy,RU,79.39,scattered clouds,53.0452,158.6483,The Hotel Petropavlovsky
182,Butaritari,KI,82.85,light rain,3.0707,172.7902,Isles Sunset Lodge
191,Mogadishu,SO,76.24,overcast clouds,2.0371,45.3438,Hotel Juba
196,Thomaston,US,80.1,scattered clouds,32.8882,-84.3266,Days Inn by Wyndham Thomaston
198,Acapulco,MX,80.62,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
199,Kavaratti,IN,81.25,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
206,Sioux Lookout,CA,79.18,few clouds,50.1001,-91.917,Knobby's Fly-In Camps
207,Marawi,PH,76.64,scattered clouds,7.9986,124.2928,Derogongan Residence
208,Soure,BR,79.11,clear sky,-0.7167,-48.5233,Casarão da Amazônia
213,Fare,PF,77.13,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
214,Vaitape,PF,77.43,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
216,Pasni,PK,79.57,broken clouds,25.2631,63.471,Kashmiri Hotal
217,Gat,IL,75.4,clear sky,31.61,34.7642,OlusHome
218,Komsomolskiy,UZ,81.32,clear sky,40.4272,71.7189,Ikathouse
222,Cayenne,GF,80.1,light rain,4.9333,-52.3333,Hôtel Le Dronmi
234,Terdal,IN,76.24,overcast clouds,16.5,75.05,Naikwadi mansion
235,Kapaa,US,82.72,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
237,Tecoanapa,MX,79.29,overcast clouds,16.5167,-98.75,Hotel Manglares
256,Denpasar,ID,83.86,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
257,Pauini,BR,78.89,clear sky,-7.7136,-66.9764,Casa do Kiwliks
259,Honiara,SB,84.85,scattered clouds,-9.4333,159.95,Heritage Park Hotel
264,Kavieng,PG,84.36,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
265,Ibra,OM,78.62,few clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
266,Tanout,NE,83.3,broken clouds,14.9709,8.8879,
267,San Andres,CO,82.42,few clouds,12.5847,-81.7006,Hotel Arena Blanca
268,Airai,TL,77.05,clear sky,-8.9266,125.4092,Juvinal Martin
269,Najran,SA,81.25,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
270,Ixtapa,MX,80.22,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
271,Suileng,CN,77.94,overcast clouds,47.25,127.0833,Bihai Chunju Hotel
280,Erenhot,CN,83.23,clear sky,43.6475,111.9767,Erenhot Rurouni Youth Hostel
281,Kanalion,GR,76.24,clear sky,39.6056,19.8925,Argo Hotel
282,Matara,LK,81.81,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
285,Lazaro Cardenas,MX,80.51,overcast clouds,17.9583,-102.2,quinta antigua
290,Hervey Bay,AU,75.31,clear sky,-25.2986,152.8535,Shelly Bay Resort
295,Cayhagan,PH,84.47,scattered clouds,9.6697,122.4256,Melrose Beach Resort
299,Vila Do Maio,CV,77.79,overcast clouds,15.1333,-23.2167,Hotel Marilu
305,Carroll,US,79.12,broken clouds,39.5501,-77.0164,Best Western Westminster Hotel
309,Tiarei,PF,78.82,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
317,Iracoubo,GF,77.18,clear sky,5.4802,-53.2011,Le Gîte d’Iracoubo
318,Mauganj,IN,82.35,overcast clouds,24.6833,81.8833,मंगलेश्वरी भवन
319,Sabha,LY,82.45,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
325,Shache,CN,84.0,clear sky,38.4167,77.2406,Delong Hotel
331,Samarai,PG,79.16,few clouds,-10.6167,150.6667,Nuli Sapi
335,Kilifi,KE,75.18,overcast clouds,-3.6305,39.8499,Baobab Sea Lodge-Kilifi
337,Fukue,JP,80.96,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
341,Brigantine,US,80.89,overcast clouds,39.4101,-74.3646,Legacy Vacation Resorts Brigantine Beach
345,Dibulla,CO,78.98,scattered clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
346,Sai Buri,TH,76.71,moderate rain,6.7013,101.6168,ร้าน​ เวดดิ้ง
353,Ugoofaaru,MV,81.63,broken clouds,5.6667,73.0,Ungoofaaru Inn
355,Mae Sai,TH,78.12,overcast clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
358,Yulara,AU,78.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
364,Turbat,PK,81.32,clear sky,26.0023,63.044,Mubashar Quarters
365,Ijuin,JP,82.51,overcast clouds,31.6167,130.4,Hotel AZ Kagoshima Ijūin
371,Aksarayskiy,RU,78.75,clear sky,46.7924,48.0119,
372,Progreso,MX,82.51,broken clouds,21.2833,-89.6667,Playa Linda Hotel
376,Trairi,BR,77.76,few clouds,-3.2778,-39.2689,janelas do mar
378,Pokhvistnevo,RU,82.9,clear sky,53.6524,52.1274,Pohvistnevskaya Central Hotel
379,Banda Aceh,ID,81.75,moderate rain,5.5577,95.3222,Sulthan Hotel International
381,Saint-Louis,SN,80.35,overcast clouds,16.3333,-15.0,
383,Astana,KZ,75.15,clear sky,51.1801,71.446,King Hotel Astana
385,Naze,JP,77.92,moderate rain,28.3667,129.4833,オーベルジュ・アガルイ
387,Tomatlan,MX,75.07,overcast clouds,19.9333,-105.25,El Salvial
389,Pangai,TO,77.11,light rain,-19.8,-174.35,Ha'apai Beach Resort
395,Mashhad,IR,75.34,clear sky,36.297,59.6062,Khanye Sabz Hotel
401,Kainantu,PG,75.54,overcast clouds,-6.2887,145.8655,Sylvester buku
404,Tautira,PF,78.82,light rain,-17.7333,-149.15,Pension Oaoa
405,Cockburn Town,TC,82.35,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
406,Kudahuvadhoo,MV,82.29,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
410,Kijang,KR,83.93,overcast clouds,35.2442,129.2139,Samyang Beach Villa
411,Hirado,JP,83.55,clear sky,33.3597,129.5531,Samson Hotel
412,Mazagao,BR,82.45,few clouds,-0.115,-51.2894,Recanto dos Ferreiras
415,Dzilam Gonzalez,MX,80.73,broken clouds,21.2833,-88.9333,posadas
416,San Miguel,SV,80.26,light rain,13.4833,-88.1833,Hotel Tropico Inn San Miguel
419,Kuandian,CN,77.67,scattered clouds,40.7286,124.7847,Hi Inn Dandong Kuandian Ji Xian Garden
420,Yinchuan,CN,79.39,overcast clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
421,Aksu,CN,82.67,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
422,Suchiapa,MX,79.12,few clouds,16.6167,-93.0833,GameZone UPChiapas
424,Savanur,IN,76.05,light rain,14.9667,75.35,Vishnu Vilas Hotel
425,Buala,SB,84.61,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
431,Hobyo,SO,77.11,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
432,Aswan,EG,82.06,scattered clouds,24.0934,32.907,Nuba Nile
435,Jiwani,PK,79.36,broken clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
437,Namatanai,PG,84.97,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
444,Buraydah,SA,79.25,clear sky,26.326,43.975,فندق راحة السلام
445,Itarema,BR,77.4,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
448,Rincon,US,84.06,scattered clouds,32.296,-81.2354,Days Inn Rincon
450,Bandarbeyla,SO,80.47,broken clouds,9.4942,50.8122,JABIR HOTEL
452,Balikpapan,ID,76.19,light rain,-1.2675,116.8289,ibis Balikpapan
453,Tianpeng,CN,84.67,overcast clouds,30.9866,103.9393,Shuangliu Love Home Business Hotel
465,Del Rio,US,84.31,clear sky,29.3627,-100.8968,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
467,Puerto Escondido,MX,80.62,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
470,Log,RU,80.49,clear sky,49.4844,43.8613,
475,Westport,US,79.05,broken clouds,41.1415,-73.3579,The Westport Inn
483,Benjamin Aceval,PY,82.54,clear sky,-24.9667,-57.5667,Escuela Agrícola y Hotel Cerrito
486,Urucara,BR,76.37,few clouds,-2.5364,-57.76,Pousada Maria Bonita
492,Goundam,ML,83.03,broken clouds,16.4145,-3.6708,
498,Placido De Castro,BR,77.83,moderate rain,-10.3353,-67.1856,Hotel Carioca
501,Lamu,KE,77.22,overcast clouds,-2.2717,40.902,Lamu House
504,Bonthe,SL,76.93,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
511,Erdaojiang,CN,81.03,clear sky,41.7764,126.0319,Tonggang Hotel
513,Puerto El Triunfo,SV,81.52,overcast clouds,13.2833,-88.55,Hotel Jardin
516,Vung Tau,VN,84.9,overcast clouds,10.346,107.0843,Green hotel
521,Nishihara,JP,81.68,thunderstorm,26.1842,127.7558,Minshuku Agaihama
522,Erzin,TR,80.01,scattered clouds,36.9559,36.2,Artemis Otel
525,Mizdah,LY,75.81,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
526,Merauke,ID,80.87,overcast clouds,-8.4667,140.3333,
528,Kalianget,ID,84.54,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
533,Surt,LY,81.36,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
535,Oktyabrskiy,RU,83.08,clear sky,54.4815,53.471,Уязы-Тау гостиница
544,Aquin,HT,78.71,overcast clouds,18.2833,-73.4,Asheev Beach
545,Galle,LK,80.06,overcast clouds,6.0367,80.217,Amangalla
550,Xiazhen,CN,83.41,light rain,34.8022,117.1117,Xinjiayuan Hotel
552,Lovington,US,77.18,broken clouds,32.944,-103.3485,Buena vida rv parks
555,Coahuayana,MX,77.59,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
558,Alekseyevskoye,RU,79.48,clear sky,55.3071,50.1135,"Motel' ""Kurlyanka"""
562,Tezu,IN,75.87,light rain,27.9167,96.1667,Circuit House
569,Puerto Carreno,CO,75.31,heavy intensity rain,6.189,-67.4859,Casa Hotel Victoria
571,Canutama,BR,79.02,light rain,-6.5339,-64.3831,Hotel Jhennifer
572,Abilene,US,79.5,broken clouds,32.4487,-99.7331,La Quinta Inn by Wyndham Abilene
574,Funadhoo,MV,80.89,scattered clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
576,Bhatkal,IN,77.25,overcast clouds,13.9667,74.5667,Nilawar Palace
590,Padang,ID,82.45,overcast clouds,-0.9492,100.3543,Mercure Padang
592,Robertsport,LR,77.63,scattered clouds,6.7533,-11.3686,Kwepunha Retreat
594,Shenjiamen,CN,80.04,broken clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
595,Puerto Narino,CO,75.15,light rain,-3.7703,-70.3831,Eware Refugio Amazonico
596,Amahai,ID,82.04,broken clouds,-3.3333,128.9167,HOTEL ISABELA
602,Thinadhoo,MV,81.86,few clouds,0.5333,72.9333,
604,Monrovia,LR,76.5,scattered clouds,6.3005,-10.7969,Sunset Inn
606,Belem,BR,78.84,clear sky,-1.4558,-48.5044,Mercure Belém Boulevard Hotel
608,Anloga,GH,77.22,overcast clouds,5.7947,0.8973,Pin Drop Hotel
619,Kibala,TD,75.15,thunderstorm,9.1104,18.3463,hotel safari
634,New Ulm,US,75.16,clear sky,44.3125,-94.4605,Best Western Plus New Ulm
636,Porbandar,IN,84.18,haze,21.6422,69.6093,Lords Inn Porbandar
637,Baracoa,CU,80.67,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
638,Pochutla,MX,79.83,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
639,Sinnamary,GF,77.61,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
641,Manzanillo,CU,78.26,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
642,Praia,CV,77.54,broken clouds,14.9215,-23.5087,LT Aparthotel
644,Tarboro,US,79.18,mist,35.8968,-77.5358,SureStay Plus Hotel Tarboro by Best Western
646,Balkhash,KZ,79.41,clear sky,46.844,74.9804,Family
651,Rabaul,PG,84.47,broken clouds,-4.1967,152.1721,Rabaul Hotel
660,Katobu,ID,81.9,overcast clouds,-4.9408,122.5276,La Ode Husein
661,Mayo,US,81.18,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
664,Sampit,ID,81.3,light rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
666,Carutapera,BR,75.96,broken clouds,-1.195,-46.02,Lidera
673,Singkang,MY,78.69,light rain,2.1006,102.7994,Kampung Seri Makmor Pagoh
679,Samandag,TR,81.12,broken clouds,36.0842,35.9771,Anadolu Palace Hotel
680,Haian,CN,83.7,light rain,32.5436,120.45,Zhongyang Shanghai Min
681,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
686,Porto Velho,BR,77.05,clear sky,-8.7619,-63.9039,Hotel Central
689,Bonfim,BR,76.46,light rain,3.0833,-59.95,
690,Baijiantan,CN,80.08,clear sky,45.6333,85.1833,
694,Kawalu,ID,79.5,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
