City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bredasdorp,ZA,2021-08-15 01:46:15,-34.5322,20.0403,50.29,93,0,3.44
1,Aklavik,CA,2021-08-15 01:46:16,68.2191,-135.0107,63.43,44,66,11.59
2,Nago,JP,2021-08-15 01:46:16,26.5881,127.9761,86.16,75,47,9.71
3,Nelson Bay,AU,2021-08-15 01:46:16,-32.7167,152.15,70.29,62,0,1.99
4,Atuona,PF,2021-08-15 01:46:17,-9.8,-139.0333,78.46,80,22,20.4
5,Sao Filipe,CV,2021-08-15 01:46:17,14.8961,-24.4956,74.91,79,94,8.34
6,Ushuaia,AR,2021-08-15 01:46:18,-54.8,-68.3,33.46,75,0,3.44
7,Cayenne,GF,2021-08-15 01:46:18,4.9333,-52.3333,81.09,85,0,1.01
8,Birjand,IR,2021-08-15 01:46:19,32.8663,59.2211,63.07,25,0,6.91
9,Oussouye,SN,2021-08-15 01:46:19,12.485,-16.5469,78.98,86,100,7.38
10,Arraial Do Cabo,BR,2021-08-15 01:46:19,-22.9661,-42.0278,67.89,81,100,6.76
11,Trud,BG,2021-08-15 01:46:20,42.2333,24.7333,68.18,72,1,0.0
12,Grindavik,IS,2021-08-15 01:46:20,63.8424,-22.4338,51.75,93,75,8.05
13,Port Alfred,ZA,2021-08-15 01:46:21,-33.5906,26.891,56.41,72,20,6.38
14,Saldanha,ZA,2021-08-15 01:46:21,-33.0117,17.9442,48.25,66,3,8.05
15,Ous,RU,2021-08-15 01:46:21,60.9058,61.5186,60.37,74,0,8.5
16,Rikitea,PF,2021-08-15 01:42:31,-23.1203,-134.9692,74.66,82,1,17.45
17,Busselton,AU,2021-08-15 01:46:22,-33.65,115.3333,55.04,70,0,7.99
18,Albany,US,2021-08-15 01:45:09,42.6001,-73.9662,70.45,65,19,5.01
19,Vaini,TO,2021-08-15 01:46:23,-21.2,-175.2,73.56,68,40,11.5
20,Trairi,BR,2021-08-15 01:46:23,-3.2778,-39.2689,76.39,81,6,7.61
21,Yatou,CN,2021-08-15 01:46:23,37.15,122.3833,80.55,66,0,4.29
22,Dingle,PH,2021-08-15 01:46:24,10.9995,122.6711,86.14,66,14,4.38
23,Nikolskoye,RU,2021-08-15 01:46:24,59.7035,30.7861,60.69,93,100,6.78
24,Cidreira,BR,2021-08-15 01:46:25,-30.1811,-50.2056,58.17,97,34,9.04
25,Bluff,NZ,2021-08-15 01:46:25,-46.6,168.3333,54.81,74,97,17.92
26,Hobart,AU,2021-08-15 01:45:32,-42.8794,147.3294,60.66,52,20,11.01
27,Castro,BR,2021-08-15 01:46:26,-24.7911,-50.0119,55.08,93,100,4.07
28,La Asuncion,VE,2021-08-15 01:46:26,11.0333,-63.8628,80.33,94,94,8.05
29,Khatanga,RU,2021-08-15 01:46:26,71.9667,102.5,60.53,48,65,5.97
30,Ponta Do Sol,PT,2021-08-15 01:46:27,32.6667,-17.1,77.13,30,28,2.68
31,Faanui,PF,2021-08-15 01:46:27,-16.4833,-151.75,79.05,72,12,6.04
32,Kapaa,US,2021-08-15 01:46:28,22.0752,-159.319,87.78,68,75,5.99
33,Atambua,ID,2021-08-15 01:46:28,-9.1061,124.8925,83.05,47,0,3.51
34,Pampas,PE,2021-08-15 01:46:28,-12.4,-74.9,47.89,89,94,1.25
35,San Ignacio,BZ,2021-08-15 01:46:29,17.1561,-89.0714,78.94,89,75,6.91
36,Yellowknife,CA,2021-08-15 01:46:29,62.456,-114.3525,61.32,82,90,16.11
37,Barra Do Corda,BR,2021-08-15 01:46:30,-5.5,-45.25,76.44,46,5,2.71
38,Mount Isa,AU,2021-08-15 01:46:30,-20.7333,139.5,80.37,24,0,16.11
39,Balsas,BR,2021-08-15 01:46:30,-7.5325,-46.0356,76.82,30,22,3.62
40,Mataura,NZ,2021-08-15 01:46:31,-46.1927,168.8643,54.48,64,86,7.81
41,Taksimo,RU,2021-08-15 01:42:34,56.3444,114.8794,72.14,51,9,2.64
42,Tuktoyaktuk,CA,2021-08-15 01:46:31,69.4541,-133.0374,60.8,48,75,11.5
43,Hithadhoo,MV,2021-08-15 01:46:32,-0.6,73.0833,82.02,74,82,16.44
44,Tasiilaq,GL,2021-08-15 01:46:32,65.6145,-37.6368,42.96,93,68,3.09
45,Chokurdakh,RU,2021-08-15 01:46:33,70.6333,147.9167,45.84,66,100,12.28
46,Dunedin,NZ,2021-08-15 01:46:33,-45.8742,170.5036,54.37,53,98,4.41
47,Port Blair,IN,2021-08-15 01:46:34,11.6667,92.75,78.84,94,90,9.22
48,Klaksvik,FO,2021-08-15 01:46:34,62.2266,-6.589,49.12,91,83,14.88
49,Puerto Escondido,MX,2021-08-15 01:43:19,15.85,-97.0667,81.9,80,4,5.64
50,Ahipara,NZ,2021-08-15 01:46:35,-35.1667,173.1667,57.42,53,33,7.36
51,Guerrero Negro,MX,2021-08-15 01:46:35,27.9769,-114.0611,75.0,73,98,18.95
52,Kahului,US,2021-08-15 01:43:09,20.8947,-156.47,86.97,66,40,24.16
53,Kavieng,PG,2021-08-15 01:46:36,-2.5744,150.7967,85.68,68,68,11.63
54,Hirado,JP,2021-08-15 01:46:36,33.3597,129.5531,79.95,75,83,17.83
55,Puqi,CN,2021-08-15 01:46:36,29.7167,113.8833,72.66,98,100,3.06
56,Roald,NO,2021-08-15 01:46:37,62.5833,6.1333,56.16,88,90,3.44
57,Ginir,ET,2021-08-15 01:46:37,7.1333,40.7,57.99,79,33,14.0
58,Georgetown,MY,2021-08-15 01:45:14,5.4112,100.3354,81.9,89,20,3.44
59,Severo-Kurilsk,RU,2021-08-15 01:46:38,50.6789,156.125,57.88,79,7,10.47
60,Punta Arenas,CL,2021-08-15 01:45:12,-53.15,-70.9167,41.11,93,90,4.61
61,Calama,CL,2021-08-15 01:41:48,-22.4667,-68.9333,52.29,22,49,9.22
62,Chuy,UY,2021-08-15 01:46:38,-33.6971,-53.4616,55.0,96,100,3.27
63,Copiapo,CL,2021-08-15 01:42:36,-27.3667,-70.3333,49.69,66,80,1.66
64,Vardo,NO,2021-08-15 01:46:39,70.3705,31.1107,48.85,85,53,9.26
65,Pitimbu,BR,2021-08-15 01:46:39,-7.4706,-34.8086,73.99,89,12,11.07
66,Butaritari,KI,2021-08-15 01:46:40,3.0707,172.7902,82.27,72,98,6.13
67,Cap Malheureux,MU,2021-08-15 01:46:40,-19.9842,57.6142,70.29,75,81,4.0
68,Hilo,US,2021-08-15 01:46:41,19.7297,-155.09,81.25,75,5,5.01
69,San Francisco,US,2021-08-15 01:42:34,37.7749,-122.4194,85.95,82,40,3.0
70,Upernavik,GL,2021-08-15 01:46:41,72.7868,-56.1549,44.85,96,100,28.59
71,Dubai,AE,2021-08-15 01:46:11,25.2582,55.3047,93.13,75,0,4.61
72,Barrow,US,2021-08-15 01:46:42,71.2906,-156.7887,46.42,87,90,17.27
73,Airai,TL,2021-08-15 01:46:42,-8.9266,125.4092,72.97,42,1,5.39
74,Saint-Philippe,RE,2021-08-15 01:46:43,-21.3585,55.7679,65.75,75,94,14.38
75,Emmauss,RU,2021-08-15 01:46:43,56.7805,36.115,58.3,79,94,9.62
76,San Patricio,US,2021-08-15 01:46:44,28.017,-97.5169,87.66,64,76,10.98
77,Lebu,CL,2021-08-15 01:46:44,-37.6167,-73.65,45.46,87,58,2.66
78,Sept-Iles,CA,2021-08-15 01:45:03,50.2001,-66.3821,64.92,98,75,3.44
79,Meulaboh,ID,2021-08-15 01:46:45,4.1363,96.1285,73.67,95,100,5.35
80,Tahoua,NE,2021-08-15 01:46:45,14.8888,5.2692,82.0,65,19,11.81
81,Lagoa,PT,2021-08-15 01:46:46,39.05,-27.9833,71.11,79,88,11.41
82,Geraldton,AU,2021-08-15 01:46:46,-28.7667,114.6,61.21,55,0,18.41
83,Hofn,IS,2021-08-15 01:46:47,64.2539,-15.2082,49.03,87,100,4.79
84,Erenhot,CN,2021-08-15 01:46:47,43.6475,111.9767,76.66,44,49,4.92
85,Qaanaaq,GL,2021-08-15 01:46:47,77.484,-69.3632,40.32,99,100,4.59
86,Raga,SS,2021-08-15 01:46:48,8.4596,25.678,67.82,96,100,2.48
87,Khovu-Aksy,RU,2021-08-15 01:46:48,51.1333,93.6,61.16,72,100,3.22
88,Ngunguru,NZ,2021-08-15 01:46:49,-35.6167,174.5,59.16,50,39,6.82
89,Areia Branca,BR,2021-08-15 01:46:49,-4.9561,-37.1369,76.84,70,9,19.01
90,Ribeira Grande,PT,2021-08-15 01:46:49,38.5167,-28.7,71.4,80,91,11.74
91,Palmer,US,2021-08-15 01:46:50,42.1584,-72.3287,75.45,71,20,0.0
92,Umm Lajj,SA,2021-08-15 01:46:50,25.0213,37.2685,88.43,41,37,8.14
93,Rocha,UY,2021-08-15 01:46:51,-34.4833,-54.3333,53.08,98,100,2.68
94,Alofi,NU,2021-08-15 01:46:51,-19.0595,-169.9187,75.09,64,53,14.97
95,Jamestown,US,2021-08-15 01:45:26,42.097,-79.2353,64.04,72,1,3.18
96,Hasaki,JP,2021-08-15 01:46:52,35.7333,140.8333,68.4,93,100,20.8
97,Gumdag,TM,2021-08-15 01:46:52,39.2061,54.5906,77.05,25,0,19.15
98,Puerto Ayora,EC,2021-08-15 01:46:52,-0.7393,-90.3518,68.56,94,91,5.01
99,Calatayud,ES,2021-08-15 01:46:53,41.3535,-1.6432,88.38,34,20,1.9
100,Diamantino,BR,2021-08-15 01:41:57,-14.4086,-56.4461,73.69,42,8,3.13
101,Guardiagrele,IT,2021-08-15 01:46:53,42.1954,14.2198,68.04,28,0,6.02
102,Kodiak,US,2021-08-15 01:46:54,57.79,-152.4072,62.11,42,1,11.5
103,Filingue,NE,2021-08-15 01:46:54,14.3521,3.3168,81.97,71,2,12.37
104,Zhigansk,RU,2021-08-15 01:46:54,66.7697,123.3711,50.22,62,100,9.84
105,Xining,CN,2021-08-15 01:46:55,36.6167,101.7667,68.49,47,46,3.83
106,Kazanka,UA,2021-08-15 01:46:55,47.8462,32.8218,61.11,61,2,8.34
107,Tula,RU,2021-08-15 01:45:43,54.2044,37.6111,58.78,73,64,3.78
108,Agropoli,IT,2021-08-15 01:46:56,40.3469,14.9966,79.92,51,0,4.16
109,Batagay-Alyta,RU,2021-08-15 01:46:56,67.8006,130.4114,48.72,62,100,2.91
110,Bubaque,GW,2021-08-15 01:46:57,11.2833,-15.8333,77.85,88,100,14.67
111,Sambava,MG,2021-08-15 01:46:57,-14.2667,50.1667,67.5,84,26,12.53
112,Lasa,IT,2021-08-15 01:46:58,46.6166,10.7002,70.68,87,0,3.11
113,Bull Savanna,JM,2021-08-15 01:46:58,17.8868,-77.5902,77.41,81,15,1.48
114,Sekoma,BW,2021-08-15 01:46:59,-24.4,23.8833,50.7,80,2,20.09
115,Tiksi,RU,2021-08-15 01:46:59,71.6872,128.8694,46.11,72,98,8.23
116,Mar Del Plata,AR,2021-08-15 01:45:00,-38.0023,-57.5575,44.62,87,0,2.3
117,Manzhouli,CN,2021-08-15 01:47:00,49.6,117.4333,67.96,72,9,9.89
118,Yekaterinoslavka,RU,2021-08-15 01:47:00,50.3734,129.1139,73.69,66,5,1.21
119,Pangnirtung,CA,2021-08-15 01:47:00,66.1451,-65.7125,46.4,100,90,0.0
120,Shihezi,CN,2021-08-15 01:47:01,44.3,86.0333,69.96,55,64,1.43
121,Pafos,CY,2021-08-15 01:47:01,34.7667,32.4167,80.51,50,0,1.14
122,Aksum,ET,2021-08-15 01:47:02,14.1245,38.7244,56.79,87,24,1.52
123,Kudymkar,RU,2021-08-15 01:47:02,59.0173,54.656,55.26,86,0,4.36
124,Matara,LK,2021-08-15 01:47:02,5.9485,80.5353,79.52,81,100,12.73
125,Chifeng,CN,2021-08-15 01:46:50,42.2683,118.9636,64.22,92,100,4.79
126,Port Elizabeth,ZA,2021-08-15 01:47:03,-33.918,25.5701,52.09,93,20,0.0
127,Isangel,VU,2021-08-15 01:47:03,-19.55,169.2667,73.99,56,45,16.26
128,Ljubinje,BA,2021-08-15 01:47:04,42.9508,18.0886,81.23,49,0,6.55
129,Dikson,RU,2021-08-15 01:47:04,73.5069,80.5464,50.68,89,100,16.84
130,Ostrovnoy,RU,2021-08-15 01:47:04,68.0531,39.5131,50.74,81,100,12.17
131,Jiblah,YE,2021-08-15 01:47:05,13.9216,44.1467,65.8,61,96,2.42
132,Hermanus,ZA,2021-08-15 01:47:05,-34.4187,19.2345,53.91,75,3,10.63
133,Yar-Sale,RU,2021-08-15 01:47:06,66.8333,70.8333,58.57,73,58,16.44
134,Abu Kamal,SY,2021-08-15 01:47:06,34.4506,40.9171,83.66,44,0,15.01
135,Seoul,KR,2021-08-15 01:42:29,37.5683,126.9778,82.0,51,0,8.05
136,Cape Town,ZA,2021-08-15 01:42:25,-33.9258,18.4232,53.11,87,0,3.44
137,Lata,PT,2021-08-15 01:47:07,40.1629,-8.3327,63.91,88,4,1.43
138,La Ronge,CA,2021-08-15 01:47:07,55.1001,-105.2842,86.25,26,75,9.22
139,San Quintin,MX,2021-08-15 01:47:08,30.4833,-115.95,72.36,76,19,14.03
140,Longyearbyen,SJ,2021-08-15 01:47:08,78.2186,15.6401,40.84,87,75,5.75
141,Tilichiki,RU,2021-08-15 01:47:08,60.4667,166.1,61.57,64,82,6.93
142,Port Augusta,AU,2021-08-15 01:47:09,-32.5,137.7667,64.71,35,0,4.05
143,Norman Wells,CA,2021-08-15 01:47:09,65.282,-126.8329,55.44,82,90,4.61
144,Hukuntsi,BW,2021-08-15 01:47:10,-24.0,21.75,50.65,81,0,10.85
145,Vila Velha,BR,2021-08-15 01:47:10,-20.3297,-40.2925,71.55,83,90,2.3
146,Makakilo City,US,2021-08-15 01:47:10,21.3469,-158.0858,82.72,68,90,4.61
147,Arlit,NE,2021-08-15 01:47:11,18.7369,7.3853,92.53,28,27,8.41
148,Carnarvon,AU,2021-08-15 01:46:16,-24.8667,113.6333,60.87,29,0,11.5
149,Ancud,CL,2021-08-15 01:47:11,-41.8697,-73.8203,43.43,90,97,4.43
150,Mehamn,NO,2021-08-15 01:47:12,71.0357,27.8492,46.65,75,100,9.62
151,Marsabit,KE,2021-08-15 01:47:12,2.3284,37.9899,59.11,82,48,22.37
152,Ciudad Bolivar,VE,2021-08-15 01:47:13,8.1222,-63.5497,75.42,88,100,9.75
153,La Rochelle,FR,2021-08-15 01:42:37,46.1667,-1.15,70.5,68,0,14.97
154,Sungaipenuh,ID,2021-08-15 01:47:13,-2.0833,101.3833,70.27,84,97,1.59
155,Saint-Joseph,RE,2021-08-15 01:47:14,-21.3667,55.6167,64.76,75,86,12.86
156,Pisco,PE,2021-08-15 01:47:14,-13.7,-76.2167,61.02,88,0,8.05
157,Touros,BR,2021-08-15 01:47:15,-5.1989,-35.4608,76.1,87,11,17.38
158,Nisia Floresta,BR,2021-08-15 01:47:15,-6.0911,-35.2086,76.01,91,10,11.18
159,Tual,ID,2021-08-15 01:47:15,-5.6667,132.75,79.65,85,68,18.43
160,Codrington,AU,2021-08-15 01:47:16,-38.2667,141.9667,60.06,66,0,21.23
161,Iracoubo,GF,2021-08-15 01:47:16,5.4802,-53.2011,76.53,89,62,7.72
162,Bambous Virieux,MU,2021-08-15 01:47:17,-20.3428,57.7575,70.05,73,75,12.66
163,Petropavlovsk-Kamchatskiy,RU,2021-08-15 01:42:40,53.0452,158.6483,64.99,63,0,4.47
164,Kirchlengern,DE,2021-08-15 01:47:17,52.2,8.6333,61.7,88,77,4.43
165,Santa Rosalia,MX,2021-08-15 01:47:18,27.3167,-112.2833,86.45,57,65,2.66
166,Fairview,US,2021-08-15 01:47:18,40.8126,-73.999,82.26,54,40,5.75
167,Tateyama,JP,2021-08-15 01:47:18,34.9833,139.8667,68.27,94,100,14.56
168,Escanaba,US,2021-08-15 01:47:19,45.7453,-87.0646,69.76,73,1,5.75
169,East London,ZA,2021-08-15 01:47:19,-33.0153,27.9116,58.19,65,100,4.07
170,Landerneau,FR,2021-08-15 01:47:19,48.4525,-4.2525,63.63,94,90,9.22
171,New Norfolk,AU,2021-08-15 01:47:20,-42.7826,147.0587,60.3,63,99,15.99
172,Cabedelo,BR,2021-08-15 01:47:20,-6.9811,-34.8339,74.07,90,7,11.97
173,Abaza,RU,2021-08-15 01:47:21,52.655,90.0928,57.83,91,100,1.59
174,Gushikawa,JP,2021-08-15 01:47:21,26.3544,127.8686,85.23,86,40,9.22
175,Jacareacanga,BR,2021-08-15 01:47:21,-6.2222,-57.7528,74.3,82,87,2.71
176,Gillette,US,2021-08-15 01:46:04,44.2911,-105.5022,86.92,15,1,6.91
177,Shima,CN,2021-08-15 01:47:22,24.4478,117.8111,86.02,70,87,3.71
178,Avarua,CK,2021-08-15 01:47:22,-21.2078,-159.775,75.25,73,75,9.22
179,Alta Floresta,BR,2021-08-15 01:47:23,-9.8756,-56.0861,78.76,34,92,1.3
180,Bethel,US,2021-08-15 01:47:23,41.3712,-73.414,77.99,73,1,3.44
181,Loanda,AO,2021-08-15 01:47:24,-8.8368,13.2343,71.6,88,20,8.05
182,Hualmay,PE,2021-08-15 01:47:24,-11.0964,-77.6139,62.33,83,21,10.09
183,Yinchuan,CN,2021-08-15 01:47:25,38.4681,106.2731,78.26,42,13,7.29
184,Tete,MZ,2021-08-15 01:47:25,-16.1564,33.5867,68.34,77,97,10.09
185,Saskylakh,RU,2021-08-15 01:47:25,71.9167,114.0833,56.64,47,94,7.87
186,Hobyo,SO,2021-08-15 01:47:26,5.3505,48.5268,76.66,84,7,22.12
187,Thai Nguyen,VN,2021-08-15 01:43:32,21.5928,105.8442,78.58,86,100,6.35
188,Smithers,CA,2021-08-15 01:45:14,54.7804,-127.1743,73.72,43,75,3.44
189,Ilulissat,GL,2021-08-15 01:47:26,69.2167,-51.1,46.42,93,90,8.05
190,Bathsheba,BB,2021-08-15 01:47:27,13.2167,-59.5167,77.61,88,40,5.75
191,Mahajanga,MG,2021-08-15 01:47:28,-15.7167,46.3167,69.82,64,20,5.75
192,Ayan,RU,2021-08-15 01:47:28,56.45,138.1667,68.16,71,34,7.52
193,Northam,GB,2021-08-15 01:47:28,51.0333,-4.2167,63.43,96,76,12.71
194,Namatanai,PG,2021-08-15 01:47:29,-3.6667,152.4333,84.97,69,17,7.11
195,Quatre Cocos,MU,2021-08-15 01:47:29,-20.2078,57.7625,69.91,77,82,18.52
196,Tezu,IN,2021-08-15 01:47:30,27.9167,96.1667,75.51,98,100,3.0
197,Santa Rosa,PH,2021-08-15 01:47:30,14.3122,121.1114,80.11,90,100,6.58
198,Mahebourg,MU,2021-08-15 01:47:30,-20.4081,57.7,70.09,73,75,12.66
199,High Level,CA,2021-08-15 01:44:50,58.5169,-117.136,75.31,33,75,10.36
200,Provideniya,RU,2021-08-15 01:47:31,64.3833,-173.3,57.18,67,100,11.41
201,Sitka,US,2021-08-15 01:47:31,57.0531,-135.33,58.89,63,90,0.0
202,Leningradskiy,RU,2021-08-15 01:47:32,69.3833,178.4167,36.93,96,100,15.32
203,Olonets,RU,2021-08-15 01:47:32,60.9847,32.9698,59.52,98,100,8.57
204,Cantaura,VE,2021-08-15 01:47:32,9.3057,-64.3584,71.91,96,100,5.84
205,Souillac,MU,2021-08-15 01:47:33,-20.5167,57.5167,70.18,73,75,12.66
206,Bad Freienwalde,DE,2021-08-15 01:47:33,52.7873,14.0304,65.44,77,81,5.82
207,Yarmouth,US,2021-08-15 01:47:34,41.7057,-70.2286,79.99,86,1,5.01
208,Srandakan,ID,2021-08-15 01:47:34,-7.9386,110.2506,83.14,69,3,6.67
209,Inhambane,MZ,2021-08-15 01:47:34,-23.865,35.3833,64.92,70,100,8.34
210,Gaoual,GN,2021-08-15 01:47:35,11.75,-13.2,72.93,99,100,0.56
211,Road Town,VG,2021-08-15 01:45:27,18.4167,-64.6167,84.29,84,64,21.18
212,Khandyga,RU,2021-08-15 01:47:35,62.6667,135.6,79.5,43,63,6.26
213,Taltal,CL,2021-08-15 01:47:36,-25.4,-70.4833,57.15,72,46,2.28
214,Boyolangu,ID,2021-08-15 01:47:36,-8.1181,111.8935,81.5,71,27,5.73
215,Pacific Grove,US,2021-08-15 01:47:36,36.6177,-121.9166,80.26,86,75,4.0
216,Guisa,CU,2021-08-15 01:47:37,20.255,-76.5386,80.91,92,94,1.45
217,Porto Walter,BR,2021-08-15 01:47:37,-8.2686,-72.7439,77.09,49,100,1.3
218,Ontario,US,2021-08-15 01:45:15,34.0633,-117.6509,100.74,44,75,1.99
219,Quelimane,MZ,2021-08-15 01:47:38,-17.8786,36.8883,66.15,94,40,9.22
220,Naryan-Mar,RU,2021-08-15 01:47:38,67.6713,53.087,50.0,91,100,20.27
221,Talnakh,RU,2021-08-15 01:47:39,69.4865,88.3972,57.31,72,100,13.18
222,Margate,GB,2021-08-15 01:47:39,51.3813,1.3862,62.69,80,99,1.99
223,Broken Hill,AU,2021-08-15 01:47:39,-31.95,141.4333,62.31,31,6,6.91
224,Katsuura,JP,2021-08-15 01:47:40,35.1333,140.3,68.11,94,100,8.84
225,Puerto Narino,CO,2021-08-15 01:47:40,-3.7703,-70.3831,76.95,77,100,3.56
226,Rio Gallegos,AR,2021-08-15 01:47:41,-51.6226,-69.2181,44.65,76,0,2.3
227,Paulista,BR,2021-08-15 01:47:41,-7.9408,-34.8731,71.46,88,15,9.17
228,Belle Fourche,US,2021-08-15 01:47:42,44.6714,-103.8522,88.45,32,2,9.8
229,Saint Anthony,US,2021-08-15 01:47:42,45.0205,-93.218,80.38,47,1,1.01
230,Mangan,IN,2021-08-15 01:47:42,27.5167,88.5333,76.32,95,100,0.58
231,Pangkalanbuun,ID,2021-08-15 01:47:43,-2.6833,111.6167,81.03,82,76,5.77
232,Port Hedland,AU,2021-08-15 01:47:43,-20.3167,118.5667,87.85,15,67,9.22
233,Abonnema,NG,2021-08-15 01:47:44,4.7084,6.7931,76.86,85,100,6.38
234,Nhulunbuy,AU,2021-08-15 01:47:44,-12.2333,136.7667,83.01,65,6,18.41
235,Adre,TD,2021-08-15 01:47:45,13.4667,22.2,69.48,84,100,4.81
236,Strezhevoy,RU,2021-08-15 01:43:30,60.7333,77.5889,58.98,74,0,9.8
237,Qasigiannguit,GL,2021-08-15 01:47:45,68.8193,-51.1922,46.65,98,98,0.34
238,Tautira,PF,2021-08-15 01:47:46,-17.7333,-149.15,84.22,74,0,6.53
239,Riyadh,SA,2021-08-15 01:45:24,24.6877,46.7219,87.94,18,59,1.32
240,Pevek,RU,2021-08-15 01:47:46,69.7008,170.3133,36.09,96,100,14.25
241,Victoria,HK,2021-08-15 01:43:17,22.2855,114.1577,82.96,87,100,1.01
242,Evensk,RU,2021-08-15 01:47:47,61.95,159.2333,50.72,95,100,7.2
243,Ixtapa,MX,2021-08-15 01:47:47,20.7,-105.2,81.63,89,75,8.05
244,Lompoc,US,2021-08-15 01:47:48,34.6391,-120.4579,79.57,80,1,13.8
245,Aloleng,PH,2021-08-15 01:47:48,16.1307,119.7824,84.61,69,44,1.81
246,College,US,2021-08-15 01:46:24,64.8569,-147.8028,55.99,57,75,11.5
247,Hit,IQ,2021-08-15 01:47:48,33.6416,42.8251,87.04,27,0,12.15
248,Orchard Homes,US,2021-08-15 01:47:49,46.8633,-114.0484,87.94,27,90,1.99
249,Nantucket,US,2021-08-15 01:47:49,41.2835,-70.0995,79.12,93,1,9.22
250,Krasnovishersk,RU,2021-08-15 01:47:50,60.4078,57.082,54.43,94,7,3.04
251,Tura,IN,2021-08-15 01:47:50,25.5198,90.2201,76.75,95,100,3.89
252,Jalapa,MX,2021-08-15 01:44:30,19.5333,-96.9167,63.37,97,84,2.77
253,Kharp,RU,2021-08-15 01:47:51,66.8014,65.8081,54.45,90,100,13.82
254,Ahuimanu,US,2021-08-15 01:47:51,21.4447,-157.8378,83.91,65,90,14.97
255,Aleksandrovka,UA,2021-08-15 01:47:52,46.8383,32.7612,59.11,55,20,8.59
256,Shimoda,JP,2021-08-15 01:47:52,34.6667,138.95,80.71,94,100,8.19
257,Chunoyar,RU,2021-08-15 01:47:52,57.4467,97.3217,58.48,97,100,5.95
258,Inta,RU,2021-08-15 01:47:53,66.0317,60.1659,51.75,92,100,26.91
259,Bom Jesus,BR,2021-08-15 01:47:53,-9.0744,-44.3586,70.14,33,5,2.24
260,Cassilandia,BR,2021-08-15 01:47:54,-19.1133,-51.7342,72.63,33,0,3.56
261,Shancheng,CN,2021-08-15 01:47:54,34.7953,116.0817,77.79,75,0,6.69
262,Luderitz,NA,2021-08-15 01:47:54,-26.6481,15.1594,60.19,42,0,4.68
263,Atar,MR,2021-08-15 01:47:55,20.5169,-13.0499,92.19,26,81,2.04
264,Alepe,CI,2021-08-15 01:47:55,5.5004,-3.6631,75.07,88,5,3.13
265,Constitucion,CL,2021-08-15 01:45:56,-35.3333,-72.4167,46.83,87,94,2.77
266,Sechura,PE,2021-08-15 01:47:56,-5.5569,-80.8222,64.92,81,28,14.43
267,Half Moon Bay,US,2021-08-15 01:46:24,37.4636,-122.4286,84.74,75,40,12.66
268,Shellbrook,CA,2021-08-15 01:47:56,53.2168,-106.4011,85.23,20,75,7.0
269,Duobao,CN,2021-08-15 01:47:57,30.67,112.6895,71.01,93,100,3.27
270,Neiafu,TO,2021-08-15 01:47:57,-18.65,-173.9833,75.88,57,40,8.05
271,Awbari,LY,2021-08-15 01:47:57,26.5921,12.7805,79.38,33,0,12.44
272,Vrangel,RU,2021-08-15 01:47:58,42.7297,133.0839,66.96,66,6,5.88
273,Sundumbili,ZA,2021-08-15 01:47:58,-29.1337,31.3975,55.71,77,98,8.52
274,Leh,IN,2021-08-15 01:47:58,34.1667,77.5833,54.95,50,97,6.82
275,Beloha,MG,2021-08-15 01:47:59,-25.1667,45.05,59.47,71,83,12.75
276,Mumford,GH,2021-08-15 01:47:59,5.2618,-0.759,73.89,88,34,9.24
277,Nanortalik,GL,2021-08-15 01:48:00,60.1432,-45.2371,48.11,98,100,4.63
278,Glasgow,GB,2021-08-15 01:46:17,55.8652,-4.2576,54.46,93,20,3.44
279,Namibe,AO,2021-08-15 01:48:00,-15.1961,12.1522,64.62,91,23,2.37
280,Havelock,US,2021-08-15 01:48:01,34.8791,-76.9013,82.94,89,100,7.61
281,Bilma,NE,2021-08-15 01:48:01,18.6853,12.9164,90.14,30,90,8.01
